Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Target,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship
25,Male,2.52,1328,74,2.39,Computer Science,0,3,0,3,3,1,56600,9,4,Executive,3,No
24,Female,2.98,1439,55,3.12,Engineering,4,4,5,3,2,4,71100,2,3,Senior,5,No
29,Male,3.95,901,962,2.15,Arts,0,0,0,1,8,3,40600,1,2,Senior,1,No
26,Female,2.67,1111,748,2.7,Computer Science,3,9,3,8,10,3,42700,8,4,Senior,6,No
25,Male,3.19,1479,572,2.45,Law,2,7,3,3,10,5,62100,8,5,Senior,4,No
22,Female,2.18,1539,24,3.44,Business,3,6,3,4,6,4,38100,5,2,Senior,9,Yes
19,Male,3.21,1232,988,2.98,Medicine,2,4,0,2,5,4,62300,2,1,Senior,2,No
22,Female,2.18,923,22,3.5,Law,1,5,5,8,1,0,33300,10,3,Senior,10,No
25,Female,3.92,1267,428,3.03,Arts,4,0,3,3,2,2,80600,5,1,Entry,5,No
27,Male,3.43,1405,32,2.17,Mathematics,0,7,0,2,2,5,79900,8,5,Entry,5,No
26,Female,3.58,1075,863,3.47,Business,2,8,4,1,7,0,39000,4,3,Mid,6,Yes
29,Other,3.41,1328,339,3.67,Mathematics,0,4,5,10,7,5,50900,2,1,Entry,5,No
29,Female,3.18,1341,947,3.81,Computer Science,1,9,5,2,6,3,51800,3,2,Entry,10,No
29,Female,2.9,1447,981,3.14,Law,3,6,5,2,8,3,48000,3,1,Mid,10,No
26,Male,3.72,1413,515,3.51,Engineering,2,9,1,4,4,1,35000,9,3,Mid,9,Yes
18,Female,3.91,1260,512,3.5,Engineering,4,3,3,1,9,2,51600,3,2,Mid,1,No
26,Male,3,1173,70,2.31,Business,2,5,0,1,8,2,27800,1,5,Executive,8,No
24,Male,3.86,1076,672,2.33,Engineering,3,1,4,6,3,5,73000,7,1,Mid,6,No
26,Other,3.17,1163,898,2.14,Medicine,3,3,2,5,3,3,74000,1,4,Entry,9,No
25,Male,3.08,1085,88,2.64,Mathematics,4,4,4,1,9,0,70200,6,3,Entry,10,No
18,Female,2.91,1426,877,2.95,Business,4,8,1,6,9,4,71300,10,4,Entry,7,No
29,Female,2.42,1178,571,4,Business,1,8,4,8,5,2,61100,4,4,Entry,3,No
25,Female,2.01,1097,764,2.86,Engineering,0,7,3,5,10,4,36400,7,1,Entry,8,No
25,Other,2.48,1248,219,3.45,Business,2,3,3,3,1,3,30300,7,4,Entry,10,No
28,Male,3.02,1320,713,3.39,Computer Science,1,5,2,3,3,1,33900,7,2,Senior,3,Yes
20,Male,2.76,1204,589,2.41,Arts,0,6,5,2,5,3,56800,6,5,Mid,3,No
18,Male,2.9,963,767,2.12,Law,1,0,0,9,4,4,29900,7,5,Mid,4,No
25,Male,3.96,1189,759,3.09,Arts,4,0,4,9,4,3,52600,8,4,Senior,3,Yes
20,Male,2.7,917,270,3.4,Mathematics,4,3,2,7,1,2,58300,3,3,Entry,6,No
20,Male,2.9,963,819,4,Law,3,2,3,1,6,5,47200,5,4,Mid,7,No
18,Female,2.27,1229,651,2.72,Engineering,2,9,5,1,10,5,50600,10,3,Entry,3,No
28,Female,2.1,916,78,3.79,Medicine,2,3,0,4,4,4,89100,9,5,Senior,3,Yes
22,Male,3.55,1342,592,2.76,Medicine,2,8,0,2,1,4,49500,8,2,Entry,7,No
27,Female,3.14,1040,10,3.38,Engineering,1,1,1,3,10,1,56100,6,3,Entry,10,No
24,Male,3.52,1207,468,3.2,Mathematics,1,3,5,2,6,2,67600,9,5,Entry,9,No
27,Male,2.3,1343,336,2.11,Engineering,2,6,3,1,5,0,63600,10,1,Senior,3,Yes
26,Female,3.14,1395,636,2.16,Business,3,1,0,3,5,1,62500,5,4,Entry,6,No
29,Female,2.51,1325,186,2.04,Medicine,0,7,1,7,2,2,54100,2,3,Senior,5,No
24,Female,2.46,1374,546,2.74,Arts,1,9,1,10,1,5,54200,9,2,Entry,8,No
26,Male,2.02,1144,121,3.49,Engineering,2,3,3,9,7,0,25000,5,4,Entry,9,Yes
25,Female,2.26,1349,592,2.35,Mathematics,4,8,0,10,5,5,76000,8,5,Entry,8,No
29,Female,2.62,1250,718,3.21,Mathematics,1,0,5,9,3,4,41100,8,5,Entry,1,No
19,Female,2.23,1498,565,2.58,Arts,0,6,0,8,6,5,63200,4,5,Mid,7,No
18,Female,3.97,1060,668,3.59,Law,1,0,4,6,3,1,46500,4,3,Mid,8,No
24,Female,2.62,1039,274,3.6,Arts,0,9,0,1,6,4,96700,1,1,Entry,5,Yes
24,Female,2.26,1392,410,3.55,Mathematics,0,8,1,8,6,4,37600,5,1,Entry,4,No
25,Female,2.4,1487,358,3.05,Medicine,1,9,2,8,9,4,85500,9,5,Entry,7,No
22,Other,3.18,1430,647,2.57,Law,0,9,3,9,8,2,48100,5,4,Entry,6,No
20,Female,2.13,1292,941,3.62,Arts,1,0,2,10,1,0,61000,5,2,Entry,2,No
29,Male,3.72,1300,98,2.37,Business,1,2,0,6,7,2,50300,6,4,Mid,9,No
25,Female,3.92,949,241,2.58,Business,3,6,5,3,9,4,73800,6,3,Entry,3,Yes
23,Male,2.49,1194,557,2.37,Medicine,4,0,5,6,2,1,52000,8,1,Mid,1,No
28,Male,2.9,1324,711,3.35,Business,0,4,1,8,9,5,54800,1,2,Mid,3,No
20,Female,2.04,911,993,3.37,Engineering,1,5,2,7,6,4,51500,5,5,Entry,1,Yes
18,Female,3.28,1234,803,3.31,Law,0,2,3,8,3,0,58500,9,5,Entry,10,Yes
20,Female,2.83,914,948,2.83,Medicine,1,5,4,3,8,2,36100,3,3,Senior,7,No
22,Male,2.54,927,114,2.2,Law,1,3,2,8,7,0,25000,7,3,Entry,6,Yes
20,Female,2.41,1287,487,3.82,Mathematics,1,5,5,5,8,2,56900,7,3,Senior,8,No
18,Male,3.31,1191,789,3.02,Arts,4,5,4,7,8,5,82000,10,3,Mid,4,No
22,Other,2.83,1149,241,2.81,Engineering,0,3,5,4,7,0,43800,3,5,Mid,6,No
27,Other,2.36,1404,156,3.18,Medicine,4,0,0,3,1,0,61500,7,5,Mid,3,Yes
24,Female,3.38,997,352,2.39,Arts,4,2,0,6,10,2,27800,3,3,Entry,4,No
24,Female,3.13,1236,44,2.27,Arts,4,9,3,9,10,2,41700,6,5,Entry,6,No
28,Female,3.72,938,592,2.81,Arts,4,6,4,4,10,2,50700,8,3,Senior,5,No
26,Female,2.23,937,312,2.45,Arts,3,1,4,9,8,3,49600,8,2,Mid,2,No
27,Male,3.57,1199,138,2.49,Arts,0,3,3,3,5,5,66800,6,3,Mid,9,No
27,Male,3.35,1078,663,3.79,Medicine,0,5,5,6,2,0,25000,2,3,Entry,2,No
29,Female,2.23,1508,944,3.06,Business,1,4,2,5,2,3,47500,1,2,Entry,8,No
20,Female,3.39,1368,436,2.97,Arts,0,5,3,9,2,3,40600,3,1,Senior,5,No
24,Male,2.88,1181,754,3.38,Mathematics,4,4,0,6,9,4,36300,3,4,Entry,7,No
18,Female,3.89,1063,143,3.9,Mathematics,2,8,4,2,5,3,39000,7,3,Senior,6,Yes
21,Male,2.28,1352,823,2.22,Engineering,0,1,1,4,3,3,54100,4,2,Entry,2,No
21,Female,3.29,996,299,3.67,Medicine,2,3,5,5,6,2,52200,2,2,Mid,4,Yes
22,Female,2.76,1208,562,3.17,Computer Science,3,0,1,9,9,2,47100,2,5,Entry,9,Yes
24,Female,3.91,1161,262,2.29,Business,1,6,0,1,9,1,29700,7,3,Mid,7,No
24,Female,2.66,1192,512,2.59,Engineering,1,0,4,9,9,5,46000,8,2,Entry,1,No
28,Male,3.92,1148,673,2.96,Mathematics,1,5,4,10,10,0,66900,5,1,Mid,4,No
21,Male,3.8,1144,62,3.38,Arts,3,9,3,1,4,5,25400,2,1,Senior,10,No
24,Female,2.54,1150,567,2.49,Medicine,4,9,2,1,5,3,39300,3,4,Entry,3,Yes
28,Female,3.61,1022,423,3.07,Medicine,2,8,3,4,1,3,32800,1,5,Entry,1,No
20,Male,3.99,1224,396,3.37,Arts,0,1,1,6,10,0,33400,10,5,Entry,5,No
23,Female,2.51,1580,884,2.9,Mathematics,4,0,4,2,6,5,46400,4,5,Mid,9,No
29,Male,2.87,1400,996,3.73,Engineering,1,9,2,1,2,2,40400,7,3,Entry,4,No
19,Female,3.04,1586,31,3.74,Medicine,1,2,3,4,7,2,37100,10,1,Entry,2,No
27,Female,2.59,965,330,2.94,Law,4,5,2,8,4,0,50300,9,3,Entry,7,No
26,Male,2.03,958,949,3.95,Mathematics,2,6,5,6,4,0,26500,3,2,Entry,8,Yes
22,Male,2.44,1397,802,2.15,Mathematics,4,7,5,5,9,2,79900,4,4,Entry,2,No
23,Female,2.56,1272,169,2.01,Business,3,3,1,1,1,0,41500,6,4,Entry,10,No
29,Female,2.89,1165,266,2.76,Engineering,1,7,2,3,6,5,44400,1,3,Entry,9,No
29,Female,2.34,1552,308,3.2,Mathematics,2,6,5,7,2,2,44900,5,4,Entry,10,No
29,Female,3.75,1135,459,3.26,Arts,0,7,4,10,6,0,35500,10,3,Mid,8,No
29,Female,3.41,1117,185,2.95,Mathematics,1,4,5,3,7,2,68800,5,5,Entry,4,No
21,Other,2.17,1426,334,2.25,Engineering,4,9,2,5,3,1,53900,10,2,Entry,4,No
28,Female,3.3,1340,515,2.34,Law,2,6,2,6,4,2,25000,9,5,Mid,5,No
27,Female,3.31,1549,441,3.7,Mathematics,1,3,3,9,2,2,31400,9,4,Mid,1,No
24,Male,3.91,1305,673,3.74,Engineering,0,0,2,3,7,3,40300,1,2,Entry,7,No
29,Male,2.01,1500,391,3.35,Mathematics,0,2,2,6,9,5,59500,3,1,Mid,4,No
26,Female,2.5,1488,772,3.33,Computer Science,4,9,1,2,5,2,67900,4,3,Executive,1,No
24,Male,3.86,1547,935,3.2,Arts,3,8,2,9,5,0,48000,1,2,Executive,4,No
18,Female,3.86,1368,560,2.41,Business,4,3,3,9,9,4,73800,9,3,Mid,4,Yes
18,Female,3.44,1009,254,2.86,Arts,2,4,3,7,8,0,61600,2,2,Entry,1,Yes
26,Female,3.53,1252,586,3.39,Computer Science,4,2,4,9,1,3,82200,5,4,Entry,9,No
28,Male,2.18,990,335,3.07,Arts,2,5,5,4,2,0,41600,3,5,Entry,8,No
26,Male,3.03,1313,400,2.04,Arts,3,3,1,10,7,1,43900,4,4,Entry,9,No
21,Male,2.46,972,166,3.91,Business,4,4,0,1,3,4,53200,4,1,Senior,7,No
26,Male,2.36,1584,260,3.69,Computer Science,0,6,4,1,6,4,38900,2,4,Entry,5,No
20,Male,3.62,1446,4,2.52,Arts,2,6,2,2,1,5,61700,2,2,Mid,7,No
24,Female,2.27,1197,888,3.23,Law,2,8,5,10,8,3,31500,8,1,Entry,2,No
23,Female,2.94,1544,119,3.85,Mathematics,0,1,1,3,2,5,27800,2,2,Entry,10,No
25,Female,3.88,1182,996,2.19,Arts,4,3,4,2,1,4,49200,10,5,Executive,7,No
28,Female,2.37,1404,923,3.01,Medicine,3,7,3,4,2,2,72200,7,3,Entry,4,No
26,Male,3.96,1097,470,2.91,Arts,1,3,1,8,8,3,57400,1,5,Entry,5,Yes
22,Female,3.99,931,470,2.82,Business,4,2,1,3,10,5,62200,1,5,Mid,7,No
18,Female,3.11,1547,785,3.67,Medicine,4,9,2,4,5,1,75000,10,5,Mid,2,Yes
20,Male,2.34,1240,493,2.76,Law,2,5,1,2,9,4,56500,3,2,Entry,5,Yes
27,Female,2.63,1557,738,2.13,Mathematics,2,2,5,1,3,4,44800,3,3,Mid,2,No
29,Male,2.85,1233,864,2.13,Law,3,1,5,8,8,3,71800,9,2,Entry,10,No
25,Female,2.62,1042,500,2.09,Law,3,8,1,7,4,4,64500,2,1,Entry,6,No
28,Other,2.56,1309,70,2.82,Computer Science,3,2,0,10,7,4,39000,4,2,Entry,10,No
23,Male,3.94,943,694,3.44,Law,0,0,2,2,10,1,37300,3,5,Mid,8,Yes
25,Female,2.31,931,865,2.41,Engineering,1,8,1,8,10,1,49200,7,4,Entry,7,Yes
26,Female,3.47,927,776,3.29,Business,1,4,1,10,8,3,63500,6,4,Senior,5,No
21,Other,2,1322,370,3.37,Computer Science,3,6,0,3,3,4,35400,9,2,Mid,3,No
18,Male,3.19,1390,181,2.51,Medicine,2,1,0,7,3,5,52000,8,5,Senior,4,No
18,Female,3.83,1059,996,3.2,Engineering,1,0,3,1,1,0,63600,2,5,Mid,2,No
27,Male,2.58,1106,5,3.37,Computer Science,4,5,2,3,8,3,46300,3,4,Entry,6,No
21,Male,2.37,917,197,2.93,Business,0,4,0,9,2,5,54200,1,3,Entry,8,No
29,Male,3.3,1002,47,2.67,Medicine,2,9,1,4,7,1,57300,8,3,Mid,8,No
24,Other,3.43,1481,970,3.24,Business,0,5,0,1,7,0,61300,2,5,Entry,9,No
19,Female,3.38,1530,552,3.96,Business,4,1,4,6,7,5,51200,4,1,Mid,5,No
20,Female,2.64,1550,634,2.85,Medicine,1,6,3,1,4,5,48100,2,1,Entry,10,No
18,Female,2.5,1571,647,2.78,Law,0,0,3,10,7,4,65200,2,1,Mid,6,No
22,Male,3.91,1131,140,2.93,Arts,0,7,5,1,10,3,25000,3,1,Senior,2,No
18,Male,3.85,1559,862,2.15,Business,0,6,2,2,8,3,62900,10,1,Entry,10,No
25,Male,2.91,1323,665,3.11,Law,4,6,3,3,9,1,58800,5,4,Mid,4,No
18,Male,3.69,1446,540,2.66,Mathematics,2,5,2,2,7,2,72900,8,5,Entry,3,No
28,Male,2.9,1138,427,2.24,Medicine,2,9,4,8,6,2,58600,10,2,Entry,9,No
18,Male,2.85,1233,589,2.93,Business,4,4,5,6,5,2,34400,2,4,Entry,6,No
19,Male,2.31,1048,687,2.01,Arts,0,8,1,1,10,3,51500,5,4,Entry,6,No
19,Male,2.85,1522,561,2.8,Mathematics,0,2,4,6,10,1,35300,4,5,Mid,4,No
29,Male,3.07,1307,854,2.21,Medicine,3,8,2,1,7,1,67200,3,3,Mid,6,No
23,Male,2.05,916,310,2.05,Computer Science,1,4,2,9,10,2,25000,10,4,Entry,1,No
24,Other,2.89,1125,274,3.65,Computer Science,1,7,2,3,2,0,26000,6,4,Entry,9,No
22,Female,3.56,1551,539,3.83,Law,2,2,1,1,5,2,32000,9,2,Entry,3,No
18,Other,3.36,1555,840,2.42,Computer Science,4,6,5,1,8,3,25600,8,1,Executive,5,No
18,Male,3.27,1159,390,3.08,Engineering,0,9,5,2,6,0,45100,2,4,Mid,7,No
20,Male,3.82,1573,459,2.56,Business,1,3,2,6,6,1,43700,1,1,Senior,2,Yes
19,Female,2.04,1503,733,2.99,Business,4,4,4,1,1,4,62400,8,5,Mid,4,No
22,Male,3.11,1073,634,2.87,Medicine,4,3,5,7,2,5,25000,5,4,Entry,6,No
29,Male,3.57,1104,361,2.54,Engineering,0,8,1,4,3,0,42000,2,2,Mid,1,Yes
27,Male,3.08,1314,69,3.4,Business,4,6,4,7,7,1,53900,10,2,Mid,6,No
23,Male,2.65,1407,583,2.25,Medicine,1,5,1,4,10,0,36000,1,5,Entry,5,Yes
24,Male,2.27,1052,662,2.11,Arts,3,5,2,4,6,2,25200,8,1,Entry,2,No
21,Male,3.78,1002,699,3.54,Business,1,9,5,4,5,0,60600,8,3,Mid,6,No
24,Female,2.94,964,431,3.33,Law,3,6,1,10,9,0,58500,6,5,Mid,5,No
28,Male,3.76,1016,885,3,Business,4,4,0,10,10,0,25000,5,3,Entry,1,No
25,Male,3.17,1564,758,2.94,Arts,1,9,4,8,7,3,43600,5,2,Senior,6,No
28,Female,3.35,1055,708,2.99,Arts,0,2,0,2,9,5,40800,6,2,Mid,7,No
18,Male,3.61,1575,32,2.87,Business,4,2,0,8,3,3,77200,5,4,Mid,9,No
23,Male,3.32,981,979,2.79,Arts,0,6,2,10,8,5,25000,2,2,Mid,2,No
25,Female,2.8,1417,621,3,Medicine,3,9,2,1,9,2,43300,7,1,Entry,6,Yes
22,Male,3.03,966,865,3.06,Business,2,0,0,7,2,4,61400,4,2,Senior,6,No
21,Male,3.61,1137,513,3.38,Business,2,3,1,7,4,3,48200,7,4,Entry,1,No
19,Female,2.75,1483,182,3.42,Computer Science,3,9,2,6,2,4,66100,1,5,Entry,8,No
23,Male,2.78,1506,686,2.76,Law,2,7,4,4,7,3,25000,6,4,Senior,5,No
23,Female,2.19,1225,681,2.83,Business,4,3,0,5,4,1,30700,2,5,Entry,2,No
28,Female,3.83,1489,248,2.75,Mathematics,4,0,4,1,6,1,45300,3,4,Senior,5,Yes
18,Male,2.18,966,620,3.07,Computer Science,1,4,5,2,8,0,57300,3,2,Entry,4,No
26,Female,3.3,1075,882,2.91,Arts,4,0,4,10,6,4,50100,10,3,Mid,7,No
29,Female,2.83,1583,297,3.78,Law,2,8,4,7,4,0,59200,1,1,Entry,10,Yes
28,Male,2.81,1377,776,3.39,Law,0,7,0,2,6,5,44900,5,3,Mid,8,No
23,Female,3.36,1154,928,3.8,Arts,1,6,3,8,1,0,30400,8,1,Entry,1,No
20,Male,2.13,962,30,3.42,Medicine,0,4,5,7,6,3,58300,8,2,Senior,1,No
21,Female,3.19,1302,302,3.94,Computer Science,2,3,2,10,10,3,27000,10,4,Entry,8,No
29,Male,3.54,1091,476,3.27,Business,0,6,4,8,8,0,35500,7,4,Entry,4,No
28,Male,3.66,1228,873,3.93,Computer Science,2,2,0,4,4,5,29500,7,5,Entry,8,No
21,Male,2.34,970,948,2.32,Arts,4,7,3,1,9,3,52700,8,3,Executive,7,No
20,Female,3.79,962,352,2.1,Arts,1,4,0,7,6,5,48800,8,1,Senior,9,No
27,Male,3.31,1196,985,3.16,Mathematics,3,4,2,1,6,1,32900,5,4,Entry,7,No
20,Male,3.76,1144,482,3.97,Medicine,2,0,0,7,4,1,38100,7,2,Senior,4,No
20,Male,2.97,1418,317,2.84,Law,4,9,1,9,8,4,44700,2,4,Senior,5,Yes
21,Female,3.08,1292,737,2.42,Law,0,7,5,5,5,1,59500,4,5,Mid,7,Yes
24,Female,3.84,1500,397,3.04,Arts,4,6,1,2,1,5,50400,6,4,Entry,2,No
21,Female,3.8,1076,89,3.3,Computer Science,0,0,4,1,7,0,54300,10,2,Entry,3,No
26,Female,2.9,1103,234,2.63,Law,0,3,0,8,8,2,56500,3,4,Entry,3,No
18,Female,2.55,1545,168,3.43,Mathematics,0,3,0,4,6,3,49700,2,1,Entry,9,No
25,Male,2.79,1493,743,3.95,Mathematics,0,8,4,8,7,0,53200,1,1,Senior,2,No
24,Female,2.78,1432,126,3.79,Business,1,9,4,2,7,3,47900,4,4,Entry,4,No
19,Female,2.57,1027,573,2.58,Business,0,1,5,3,4,4,72100,2,2,Senior,8,No
25,Other,2.54,1094,120,2.65,Computer Science,1,3,3,3,4,0,57900,3,2,Senior,1,Yes
18,Female,3.72,1093,428,2.74,Medicine,3,9,0,4,1,0,77500,10,4,Senior,9,No
28,Male,2.14,1083,190,2.79,Business,1,2,2,9,2,0,69000,6,2,Mid,6,No
